Estación,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11085010,10,1,8,16,39,24,25,26,59,83,42,65,64,79,82,66,29,99,82,14,84,72,40,100,22,21,93,39,55,34,51,17,94,63,52,22,35,11,1,7,21,88,14,30,97,76,5,32,74,40,16,57
11090010,49,44,42,43,63,5,46,75,66,93,96,14,28,73,10,100,9,22,16,3,32,25,78,15,72,58,55,90,33,90,56,99,18,66,14,10,98,52,91,35,25,15,92,8,78,54,45,95,13,100,9,93
11100010,99,9,83,79,26,60,96,18,19,40,13,36,13,100,67,94,36,39,52,53,48,77,53,71,93,94,79,2,99,25,18,34,88,28,56,33,53,26,69,59,91,81,59,99,14,68,33,21,61,64,30,71
11100020,81,59,14,27,30,94,73,39,60,23,30,70,49,53,70,44,85,90,54,84,97,39,84,10,12,29,42,52,24,17,70,59,66,49,73,72,92,95,9,75,31,32,6,49,1,68,54,75,75,48,97,67
11100030,43,7,78,63,63,60,57,5,64,66,78,48,98,17,65,34,73,29,19,23,63,6,47,60,28,77,50,73,87,53,18,53,5,97,86,27,93,36,10,39,53,22,35,74,55,7,0,14,92,96,47,15
11105010,94,64,16,73,98,11,4,8,51,30,69,11,38,6,23,27,39,55,24,62,41,31,10,77,91,80,87,12,9,19,89,3,44,49,20,43,29,73,60,66,46,11,24,25,6,8,51,24,45,31,28,65
11110010,13,15,17,11,34,32,17,1,14,57,35,35,45,31,75,75,95,44,14,100,91,94,100,17,15,24,37,7,57,84,24,67,33,73,74,80,19,51,6,17,19,59,41,26,69,35,0,31,82,95,53,18
11110020,64,78,58,25,18,55,73,53,69,36,86,76,7,95,91,24,4,7,35,8,33,48,41,68,10,88,47,71,6,38,87,68,97,15,82,30,0,100,92,3,73,62,68,92,43,100,80,86,33,2,2,25
11110030,4,66,63,76,72,21,67,89,12,72,28,92,3,26,25,68,9,52,55,49,69,64,51,70,74,8,6,5,1,91,41,34,37,4,46,57,73,76,67,81,7,12,94,99,37,66,6,48,14,52,65,46
11110040,21,75,26,93,35,90,88,66,6,36,29,42,60,65,55,62,45,15,78,70,1,12,15,9,24,2,45,44,41,27,48,84,49,82,95,71,20,27,6,50,100,70,29,53,87,13,84,70,53,0,60,9
11110110,97,27,0,71,70,40,52,46,73,93,69,83,49,100,33,83,50,2,19,32,28,53,35,48,91,31,80,66,63,86,83,8,65,40,10,37,51,46,33,37,78,65,61,87,67,68,19,100,19,93,26,22
11115020,59,63,54,19,27,5,72,87,37,67,46,87,13,53,97,36,55,15,86,25,95,71,47,25,66,96,96,76,25,35,20,41,27,98,75,51,82,41,98,0,4,81,37,22,23,7,39,55,40,64,47,31
11115030,0,10,10,71,4,27,50,21,17,29,47,36,76,20,62,91,80,85,60,30,3,100,9,89,16,58,22,42,23,59,90,63,4,59,10,14,17,18,13,27,47,35,61,31,45,85,64,91,47,100,71,94
11115040,67,31,60,25,41,34,74,50,80,81,52,17,92,98,10,93,7,20,23,79,93,62,61,31,97,26,80,63,96,45,79,25,35,95,64,18,43,53,38,7,21,75,78,58,7,16,74,6,99,34,32,17
11120010,54,81,41,76,89,98,98,85,4,1,0,44,84,33,13,56,58,23,78,31,64,87,54,81,86,90,38,16,58,13,26,83,33,76,42,85,85,89,92,71,98,38,2,5,24,38,56,22,64,18,70,81
11120040,65,11,66,44,8,11,4,20,67,51,51,45,34,59,92,45,77,91,17,94,0,2,33,31,24,37,16,94,79,80,65,75,97,2,5,35,89,36,43,5,76,14,59,45,55,79,45,85,13,69,18,76
11125010,36,15,28,24,73,60,56,68,52,72,5,58,28,79,30,7,13,55,93,35,48,31,54,70,84,3,83,35,63,15,10,98,47,3,69,9,52,63,36,63,68,45,96,63,2,83,86,49,90,32,99,16
11130020,73,63,79,59,9,39,18,62,91,38,98,21,15,31,43,12,39,45,21,99,50,94,97,0,23,18,33,0,14,50,73,33,56,53,74,76,83,59,70,13,15,97,83,53,12,36,35,15,56,71,64,52
11130030,89,100,9,21,95,5,42,26,39,33,19,76,52,85,32,61,1,84,88,76,29,41,38,50,41,54,97,37,64,57,87,90,81,7,75,27,30,22,34,29,17,46,39,89,32,60,90,54,6,63,2,69
11135010,52,34,60,50,43,56,10,90,66,98,69,66,14,84,13,40,83,22,61,48,92,30,0,74,68,17,39,17,98,10,34,94,30,25,10,80,6,50,50,51,98,50,93,68,74,9,6,93,22,12,39,32
11135020,92,74,96,57,79,5,73,10,97,97,4,16,60,100,56,29,68,82,64,78,66,99,35,8,19,24,1,67,33,48,14,43,83,48,88,68,61,1,6,82,0,13,56,3,23,25,27,70,48,41,34,43
11135030,97,95,1,78,43,13,27,20,36,37,67,52,49,49,77,3,80,99,39,31,32,38,1,72,57,52,51,32,11,69,79,91,65,14,18,82,51,90,60,31,21,92,4,61,71,44,94,54,87,61,27,6
11140010,33,58,31,44,53,50,91,57,45,68,90,20,84,50,15,43,46,65,52,48,59,73,70,93,79,87,2,96,24,82,45,85,28,41,5,59,25,68,69,35,75,58,61,26,64,7,83,88,99,63,5,59
11145010,75,17,94,7,49,28,55,20,88,3,43,10,46,69,28,99,63,77,84,60,25,63,5,8,93,26,49,34,31,45,66,63,49,58,45,86,89,8,61,30,14,20,25,1,43,28,96,8,79,25,55,99
11150010,10,95,28,24,11,7,6,61,27,93,48,44,14,90,98,87,100,13,19,8,18,29,72,53,26,50,70,86,66,82,47,99,89,21,11,5,42,6,38,52,19,46,62,55,38,89,58,21,45,80,97,76
11150020,28,44,17,65,65,59,88,26,27,4,97,37,3,27,47,22,90,21,61,90,31,7,46,77,90,86,32,80,2,25,3,50,23,19,43,26,83,22,65,68,69,82,35,40,43,61,83,81,66,75,60,11
11150030,91,69,92,86,72,8,1,11,63,81,60,41,51,72,24,94,44,84,10,53,94,99,87,39,21,33,14,4,83,23,66,44,59,73,79,69,73,74,13,97,86,74,87,3,84,97,73,16,15,12,10,4
11155010,5,12,1,2,44,82,49,64,42,62,75,7,65,74,87,30,6,24,14,28,44,24,41,17,87,73,56,67,63,87,6,95,81,77,12,46,98,67,5,94,6,9,24,6,34,46,14,50,37,37,77,43
11155020,43,63,50,80,65,66,88,21,83,98,91,43,22,22,66,5,62,45,55,68,64,91,78,71,23,55,4,17,85,51,80,59,0,43,70,13,60,13,1,42,10,48,41,17,97,40,81,70,50,100,96,7
12010010,32,26,56,21,31,1,51,9,33,26,41,42,38,58,59,45,0,67,82,84,89,15,8,21,85,18,40,61,24,34,46,64,64,78,48,61,61,48,56,31,0,64,81,84,63,3,15,11,98,95,30,44
12010030,35,100,19,69,37,50,59,19,89,62,91,62,78,15,80,100,1,19,29,48,24,31,44,71,42,57,51,62,89,82,98,65,28,4,69,82,64,89,95,98,25,82,19,35,2,68,98,48,34,44,93,28
12010040,76,40,83,23,100,99,95,85,66,43,7,12,53,96,29,62,38,82,32,75,65,46,25,50,93,4,1,11,96,17,15,13,14,56,93,16,15,30,96,38,1,35,55,25,51,57,60,73,96,95,66,78
12010050,97,3,3,4,26,97,20,16,29,93,97,76,42,45,83,36,84,59,79,26,69,9,28,79,55,21,25,18,16,96,39,25,19,6,47,66,15,48,31,89,65,56,89,77,5,99,89,89,45,30,28,13
12010060,15,57,24,40,19,60,57,80,79,34,74,87,98,87,91,2,19,8,42,90,60,58,13,56,29,86,76,73,85,10,46,80,29,70,49,87,94,70,23,67,9,22,93,26,21,35,51,31,66,26,49,59
12010070,71,73,60,74,98,55,79,13,20,100,13,6,46,22,55,40,7,78,63,67,94,62,80,96,87,26,56,93,33,45,24,54,6,87,100,17,87,26,17,2,72,11,27,57,33,87,67,82,60,66,15,25
12010080,34,59,25,82,33,4,17,53,13,36,57,45,58,54,67,58,71,13,56,100,86,94,16,39,53,0,91,13,98,7,4,94,37,26,66,6,49,91,40,71,47,78,90,86,96,79,5,48,87,29,23,19
12010090,21,25,44,20,74,55,52,49,35,4,94,81,74,90,7,24,0,6,34,34,64,14,47,73,20,11,27,99,64,40,70,44,24,3,52,84,10,54,94,7,97,43,82,52,24,4,84,88,66,63,59,83
12010100,61,92,56,98,38,4,14,85,98,7,6,38,28,69,24,38,78,28,85,50,65,77,44,67,31,66,79,62,85,71,65,75,88,30,70,33,100,20,48,11,42,17,51,73,27,67,73,50,15,80,100,81
12010110,14,72,18,8,89,67,89,36,32,31,76,12,91,45,61,0,41,68,0,92,18,42,69,76,52,31,83,98,92,7,14,38,38,8,24,49,55,32,64,91,78,81,87,50,19,17,89,4,85,61,21,44
12010120,65,19,70,40,69,35,52,72,82,69,65,77,31,96,100,4,93,49,24,90,65,19,32,1,14,24,33,46,42,32,42,62,95,45,1,65,91,95,13,15,79,22,21,21,44,37,25,54,47,73,27,93
12010130,59,59,56,90,4,73,88,81,30,10,12,69,84,62,39,45,72,96,36,25,20,67,9,50,79,23,100,29,8,62,78,25,59,9,2,92,29,11,25,35,18,88,14,57,60,38,89,82,98,65,92,14
12010140,80,21,91,40,98,23,3,45,43,29,52,36,46,89,54,70,33,44,61,13,83,36,67,90,100,86,82,92,16,13,25,94,93,63,38,49,22,51,66,71,74,50,93,5,1,75,4,18,38,4,54,21
12010150,19,40,26,57,10,90,69,85,50,51,7,84,90,90,50,64,97,71,80,6,22,90,88,6,20,36,29,56,97,76,53,62,59,55,79,70,87,26,69,9,38,86,56,95,42,41,35,85,3,92,85,72
12010160,98,80,93,74,88,68,20,98,0,100,97,19,10,97,17,84,11,27,14,58,98,40,37,60,57,43,79,70,63,0,61,97,91,3,20,73,42,90,32,59,5,43,33,66,76,73,83,85,75,54,95,34
12010170,90,28,88,10,37,3,83,87,52,43,21,49,88,25,18,34,74,30,41,74,24,90,83,59,92,68,33,0,13,6,10,23,53,13,22,35,63,71,47,66,81,96,96,90,66,58,43,25,37,18,76,59
12010180,37,16,50,60,39,82,25,68,95,29,42,38,37,81,54,88,51,79,19,72,5,94,37,21,18,16,14,36,77,30,31,54,77,85,74,17,57,6,97,3,16,12,36,11,57,79,43,76,92,59,11,54
12015010,65,86,49,59,7,20,88,75,41,93,69,72,16,55,32,22,5,45,13,25,55,21,74,10,52,95,35,14,55,85,78,94,7,88,10,7,93,34,27,14,47,37,88,53,96,72,93,12,35,95,90,32
12015020,4,25,99,21,43,59,10,77,93,6,86,35,9,21,62,89,58,34,41,90,29,99,48,68,14,89,1,98,71,47,13,56,25,8,79,28,48,50,41,81,9,99,5,16,59,27,13,36,30,59,53,68
12015030,24,33,56,42,98,94,46,39,32,25,52,39,72,63,26,66,80,12,76,79,19,11,5,34,82,52,52,32,48,12,92,56,61,0,45,95,14,90,54,7,34,51,17,94,20,64,76,72,97,70,92,90
12015040,88,49,50,63,36,35,56,68,71,90,73,71,93,12,89,30,96,16,15,38,73,13,70,55,50,73,45,69,65,76,41,48,27,8,93,49,89,55,30,57,97,40,80,97,50,29,10,98,14,91,70,10
12015050,36,52,1,35,71,94,77,30,74,25,93,6,32,6,34,34,49,50,46,59,64,53,5,73,89,75,8,23,16,31,84,25,39,46,42,61,74,91,80,10,79,18,34,88,28,3,74,47,43,53,23,59
12015060,86,14,91,84,33,30,14,24,24,64,47,58,67,27,97,72,64,66,9,22,12,3,6,27,40,47,6,29,52,72,46,62,55,17,8,8,29,96,52,35,41,54,36,51,64,58,98,41,91,4,75,41
12015070,64,53,19,32,28,78,61,48,91,31,10,98,78,17,86,27,12,17,57,3,30,70,10,90,33,83,70,66,16,47,98,91,5,32,28,48,45,45,88,27,68,72,50,1,65,21,75,7,30,25,24,20
12015080,78,31,86,72,95,91,64,10,82,94,35,3,25,21,20,68,4,74,23,43,93,60,74,78,84,7,0,0,0,87,79,52,55,49,64,76,80,86,63,5,2,35,89,21,34,35,28,44,11,62,75,68
12015090,2,72,21,14,15,100,11,62,29,58,24,44,55,88,78,57,97,95,88,92,98,9,38,4,46,91,68,67,59,72,53,91,94,100,39,96,15,49,2,72,22,39,51,33,99,36,80,92,76,98,82,82
12020010,18,22,15,66,39,62,48,48,68,88,91,93,86,22,2,4,48,72,42,27,50,50,30,71,45,68,1,58,6,3,2,53,83,62,5,35,73,0,71,59,66,87,55,83,89,63,42,86,14,8,6,60
12020040,69,85,52,15,49,87,9,69,32,90,15,8,37,48,18,31,50,38,66,62,49,68,69,21,89,40,6,20,43,53,43,24,64,77,71,74,77,64,19,96,2,76,32,45,3,46,19,50,63,59,45,53
12020170,22,91,33,94,100,49,19,18,39,25,69,58,49,57,43,12,76,82,82,25,99,21,5,33,60,61,62,45,68,3,84,87,100,54,33,9,15,40,94,64,27,57,84,26,67,82,34,13,43,21,76,74
12025010,62,53,82,22,63,29,54,88,63,80,46,12,15,93,33,15,2,45,18,34,29,42,7,49,14,71,98,7,17,13,0,23,90,32,45,40,31,48,60,78,43,100,47,80,2,98,11,87,20,20,30,40
12025020,23,17,21,0,84,85,20,80,28,97,97,66,79,49,50,10,80,19,73,53,82,31,1,99,30,82,60,55,38,36,21,78,58,71,64,54,81,10,87,94,35,20,25,1,20,37,53,44,60,13,93,69
12025030,87,84,88,40,30,33,100,42,45,31,74,14,57,83,87,67,73,12,38,11,44,9,36,76,42,59,38,91,79,75,88,71,94,24,15,16,11,24,38,27,71,14,55,67,77,74,60,95,68,92,13,74
12025040,31,38,38,31,71,54,78,64,47,97,0,81,23,76,26,18,20,100,12,80,66,50,99,58,83,99,78,57,74,22,32,93,62,99,38,31,47,87,31,58,91,56,4,85,72,4,81,44,11,27,20,91
12030010,97,58,0,81,7,62,13,85,13,41,79,31,11,54,40,56,83,63,66,16,59,15,6,9,33,13,56,97,38,72,43,55,51,50,96,86,90,69,66,36,85,18,7,48,35,31,30,30,66,79,26,25
12030020,71,21,31,9,2,15,65,48,34,58,15,72,74,77,79,5,34,14,20,22,51,36,60,19,36,76,92,59,88,67,94,100,2,33,70,49,25,18,58,24,39,68,49,74,42,82,11,52,6,36,76,69
12040010,48,29,56,72,38,81,32,85,88,68,8,72,47,28,33,58,27,40,83,37,87,53,96,84,77,27,61,13,94,7,29,15,52,22,32,76,16,57,62,50,94,45,15,65,96,31,80,93,96,74,23,19
12040020,28,69,93,52,0,70,84,32,92,18,51,34,79,17,74,50,63,3,71,88,88,95,20,30,16,20,97,63,56,45,36,51,68,70,76,54,83,97,28,77,96,35,25,18,30,88,27,43,22,40,6,86
12045010,92,19,97,100,66,9,49,15,55,81,87,98,53,81,21,0,2,21,11,54,20,60,23,67,79,32,61,54,81,85,0,87,87,9,42,3,46,12,14,43,43,87,26,61,44,44,67,53,63,77,70,6
12045020,55,32,53,39,23,72,63,15,90,86,35,15,1,72,88,58,41,60,74,28,98,69,65,14,48,84,24,91,47,77,40,7,7,78,4,54,48,63,64,59,70,58,34,100,67,65,98,88,14,4,20,74
13010010,70,54,75,3,71,45,2,39,5,48,61,34,68,49,66,79,61,73,78,82,47,58,28,3,14,50,29,46,12,41,81,58,71,81,40,9,84,94,83,11,29,79,98,0,17,28,38,98,20,43,70,40
13010020,32,90,25,43,29,52,51,64,87,73,70,69,9,87,93,82,51,9,41,31,100,69,52,49,49,45,92,82,61,3,44,21,11,79,49,88,64,28,11,52,95,18,61,1,81,31,59,79,45,24,39,92
13010040,50,24,70,68,10,77,80,73,22,26,19,32,27,22,26,59,50,43,57,85,52,4,69,100,85,7,4,60,39,83,25,45,18,41,38,51,56,96,65,14,19,97,35,83,58,78,99,96,7,92,75,54
13015010,8,13,84,30,90,25,23,8,86,18,40,63,26,94,46,90,66,72,5,75,89,21,98,19,43,28,29,26,79,46,61,41,55,69,79,83,32,73,86,96,86,89,3,18,99,40,89,58,72,12,55,19
13015020,25,30,46,27,24,78,44,87,28,57,97,2,80,97,83,26,16,6,10,24,67,46,39,39,82,69,79,62,59,97,87,18,77,77,12,97,99,39,80,36,21,44,54,5,76,36,57,93,29,79,75,86
13015030,61,82,67,77,88,61,10,16,80,19,1,24,44,19,88,0,57,70,50,91,59,59,1,81,30,78,100,22,80,46,2,9,0,16,42,12,41,41,44,57,52,40,57,60,12,83,98,85,93,29,23,23
13015040,92,20,78,43,15,8,61,78,58,21,64,65,33,73,54,67,23,51,91,94,84,37,3,44,6,13,62,36,46,33,34,48,54,50,48,33,3,66,71,73,16,6,22,14,91,33,32,27,13,36,72,52
13020020,31,22,42,64,61,45,54,41,85,85,77,72,85,27,2,21,97,41,26,43,21,26,67,96,52,64,61,84,89,54,71,37,3,4,84,23,5,11,21,27,41,23,36,77,17,83,39,64,76,86,0,57
13020040,58,62,78,45,98,9,80,96,89,40,2,35,48,18,44,57,34,77,44,83,75,68,20,38,14,0,75,10,70,17,88,1,42,86,35,31,4,75,11,81,44,50,100,40,82,84,68,16,10,9,7,93
13025020,21,12,25,100,49,19,15,39,24,55,18,71,38,52,95,59,80,82,1,98,91,4,98,0,28,21,9,5,18,46,39,68,8,51,62,81,58,64,3,89,95,99,81,19,48,13,30,97,60,47,43,56
13025030,88,80,20,62,42,31,79,60,89,56,70,9,93,82,14,72,42,31,37,13,40,69,36,29,22,49,49,72,58,53,88,95,71,100,80,2,8,11,68,82,52,37,35,70,36,51,52,61,8,42,91,0
13030010,94,27,98,97,93,80,74,9,20,96,65,76,42,45,35,80,29,73,59,56,89,40,53,95,61,100,56,93,90,89,39,70,22,1,42,32,28,41,34,45,73,42,69,74,76,1,82,24,68,7,30,14
13035010,29,84,47,77,33,100,39,75,94,73,39,40,81,49,63,82,65,35,52,100,88,51,30,97,0,0,6,55,39,25,46,9,79,68,33,63,49,5,83,89,89,19,5,28,89,21,48,48,45,29,39,62
13035501,16,22,24,58,54,77,76,44,57,100,63,3,69,11,2,6,37,88,34,33,3,14,19,46,63,29,69,13,64,97,44,87,67,18,97,100,26,96,8,51,1,44,39,52,69,46,99,29,82,79,76,98
13040010,83,87,78,68,61,26,2,7,93,88,44,20,50,38,20,60,53,27,84,22,67,50,45,1,31,10,94,78,26,86,9,16,2,47,86,34,34,20,90,29,57,60,66,89,99,83,89,65,15,39,100,45
13040030,24,94,16,30,25,48,11,31,54,27,71,36,87,40,60,73,43,83,58,69,92,14,10,91,94,46,98,40,6,23,64,38,81,24,66,93,70,74,79,80,22,96,28,6,20,60,4,46,26,75,86,82
13045010,87,14,71,35,65,32,47,87,3,64,87,88,86,96,72,82,96,22,24,4,6,63,21,44,45,99,78,61,84,47,57,4,85,87,43,56,33,24,13,57,97,64,27,37,87,19,67,18,85,38,80,15
13050010,39,81,51,85,27,83,95,4,100,32,7,41,85,34,38,18,44,40,40,52,62,85,52,65,94,65,16,72,98,78,19,48,86,51,17,34,45,27,44,50,54,3,30,100,90,68,54,20,36,2,31,79
13050020,1,6,86,65,66,45,25,41,65,1,51,35,36,74,16,43,75,52,2,55,99,78,84,31,14,15,9,22,32,55,40,38,35,78,58,64,67,93,96,98,4,67,35,20,40,39,43,83,76,69,98,51
13050030,42,36,48,44,32,85,80,66,39,50,6,56,90,63,66,5,11,93,96,37,49,19,32,49,36,79,45,48,39,91,95,78,89,82,8,11,31,16,11,24,53,20,94,59,80,94,87,10,67,33,74,13
13050040,93,87,2,70,84,63,19,70,2,100,70,19,25,5,44,13,53,43,22,100,12,83,82,50,99,58,8,80,94,42,76,11,34,93,62,14,58,32,47,89,32,98,98,79,13,37,22,27,17,69,36,52
13055010,12,23,9,6,93,3,29,87,37,8,20,64,29,61,34,76,64,45,86,63,66,17,13,2,6,9,49,15,56,97,25,65,71,55,50,66,83,88,90,5,18,61,26,27,30,73,60,52,68,38,91,94
13055030,26,39,4,48,41,54,25,40,67,74,57,80,53,97,97,88,81,20,36,14,20,9,53,39,60,59,29,79,70,60,73,70,97,0,89,59,72,65,61,41,81,34,65,76,72,21,58,94,33,74,54,97
13060010,100,58,48,58,81,95,61,90,57,95,25,14,31,98,40,28,47,60,30,43,70,63,74,61,95,84,77,29,63,27,94,35,22,4,52,7,73,99,39,80,85,75,31,68,38,88,7,56,9,52,32,47
13060020,0,99,98,79,58,62,25,18,8,48,28,27,51,36,6,31,59,92,41,7,71,88,91,10,32,30,16,39,12,48,71,30,40,53,16,93,12,88,35,18,51,15,5,75,59,42,55,51,73,1,68,88
13060030,0,33,29,41,12,11,88,32,75,40,54,97,72,5,69,82,21,0,91,23,34,54,20,34,31,52,95,48,64,57,6,71,25,39,9,32,36,43,56,50,77,66,59,11,35,5,92,92,13,70,49,90
13065010,2,15,92,78,79,93,56,9,86,4,19,86,35,55,4,74,10,58,72,38,92,28,85,97,68,14,88,84,6,93,70,27,50,47,32,87,53,70,73,100,86,82,95,5,7,30,53,12,22,32,59,52
13065020,100,96,16,77,12,9,96,45,89,68,8,48,90,6,76,52,66,93,61,0,81,68,48,88,30,25,86,65,31,97,48,63,3,83,73,3,63,33,36,12,20,34,76,30,45,46,63,62,86,69,66,16
13070010,0,32,6,26,48,72,46,24,67,57,89,66,56,69,12,14,6,82,51,26,6,46,100,69,55,64,49,68,16,10,86,26,82,17,51,24,71,10,67,53,57,97,53,66,8,88,98,84,6,6,90,56
13070020,100,80,64,47,70,70,3,91,5,73,25,15,19,47,13,43,29,59,73,46,72,88,53,4,48,24,22,15,81,85,64,28,48,75,43,57,60,60,29,58,96,13,65,43,10,28,16,23,72,42,39,63
13070030,100,37,2,13,9,33,6,43,8,23,50,20,40,63,62,83,49,90,66,86,22,91,3,93,48,45,68,65,38,51,95,69,97,79,91,8,95,28,78,48,47,27,31,36,77,79,58,71,41,77,17,58
